Frequency_Hz,Real,Imaginary
0.159154943091895,-0.012301273477859,2.38212431691146e-06
0.16230271589861,-0.0123012734631873,2.42923806403726e-06
0.165512745481333,-0.0123012734479294,2.47728362851267e-06
0.16878626315706,-0.0123012734320618,2.52627944001241e-06
0.172124524595827,-0.0123012734155607,2.57624429245809e-06
0.175528810302357,-0.0123012733984002,2.62719735161118e-06
0.179000426107251,-0.0123012733805543,2.67915816212055e-06
0.182540703667875,-0.0123012733619953,2.73214665533938e-06
0.186151000979172,-0.0123012733426952,2.78618315698987e-06
0.18983270289456,-0.012301273322624,2.84128839439565e-06
0.193587221657144,-0.012301273301751,2.89748350521719e-06
0.197415997441431,-0.0123012732800442,2.95479004500122e-06
0.201320498905754,-0.0123012732574703,3.01322999546253e-06
0.205302223755631,-0.0123012732339946,3.07282577326801e-06
0.209362699318258,-0.0123012732095811,3.13360023847142e-06
0.213503483128371,-0.0123012731841925,3.1955767030081e-06
0.217726163525688,-0.0123012731577894,3.25877894029832e-06
0.222032360264175,-0.0123012731303318,3.3232311936824e-06
0.226423725133356,-0.0123012731017772,3.38895818571241e-06
0.230901942591913,-0.012301273072082,3.45598512847182e-06
0.23546873041382,-0.0123012730412006,3.52433773246886e-06
0.240125840347253,-0.0123012730090856,3.59404221630557e-06
0.244875058786532,-0.0123012729756875,3.66512531782753e-06
0.249718207457358,-0.0123012729409553,3.73761430326875e-06
0.254657144115592,-0.0123012729048358,3.81153697817695e-06
0.259693763259867,-0.0123012728672734,3.88692169807178e-06
0.264829996858284,-0.0123012728282104,3.96379737931012e-06
0.270067815089487,-0.0123012727875869,4.04219351020311e-06
0.275409227098391,-0.0123012727453407,4.12214016229669e-06
0.28085628176686,-0.0123012727014069,4.20366800154308e-06
0.286411068499624,-0.0123012726557179,4.28680830093062e-06
0.292075718025744,-0.0123012726082037,4.37159295160077e-06
0.297852403215924,-0.0123012725587916,4.45805447569658e-06
0.303743339915995,-0.0123012725074056,4.54622603820573e-06
0.30975078779687,-0.0123012724539671,4.63614146050861e-06
0.315877051221326,-0.0123012723983936,4.72783523233586e-06
0.322124480127921,-0.0123012723406002,4.82134252623999e-06
0.328495470932386,-0.0123012722804981,4.91669920995142e-06
0.334992467446863,-0.0123012722179949,5.01394186078971e-06
0.341617961817305,-0.012301272152995,5.11310777920028e-06
0.348374495479429,-0.0123012720853986,5.21423500366759e-06
0.355264660133566,-0.0123012720151019,5.31736232480906e-06
0.362291098738802,-0.0123012719419969,5.42252930073098e-06
0.369456506526773,-0.0123012718659719,5.52977627155415e-06
0.376763632035512,-0.0123012717869096,5.63914437556105e-06
0.384215278163748,-0.012301271704689,5.75067556417559e-06
0.391814303246053,-0.0123012716191841,5.86441261919209e-06
0.399563622149253,-0.0123012715302633,5.98039916813078e-06
0.407466207390526,-0.0123012714377904,6.09867970120568e-06
0.415525090277615,-0.0123012713416235,6.21929958904509e-06
0.423743362071588,-0.0123012712416152,6.34230509934784e-06
0.432124175172596,-0.0123012711376116,6.46774341470749e-06
0.440670744329087,-0.0123012710294533,6.59566265125188e-06
0.449386347870931,-0.0123012709169744,6.72611187642364e-06
0.458274328966938,-0.0123012708000026,6.85914112826381e-06
0.467338096907243,-0.0123012706783577,6.99480143475458e-06
0.476581128411058,-0.0123012705518535,7.13314483234421e-06
0.486006968960286,-0.0123012704202961,7.27422438732183e-06
0.495619234159511,-0.012301270283483,7.41809421541157e-06
0.50542161112289,-0.0123012701412048,7.56480950228065e-06
0.515417859888471,-0.0123012699932428,7.71442652530112e-06
0.525611814860483,-0.0123012698393703,7.86700267488808e-06
0.536007386280155,-0.0123012696793509,8.02259647636567e-06
0.546608561725624,-0.0123012695129394,8.18126761288895e-06
0.557419407641505,-0.01230126933988,8.34307694748479e-06
0.568444070898716,-0.0123012691599075,8.50808654744309e-06
0.579686780385156,-0.0123012689727455,8.67635970731915e-06
0.591151848627835,-0.0123012687781067,8.8479609734991e-06
0.602843673447094,-0.0123012685756928,9.02295616897294e-06
0.614766739643542,-0.0123012683651933,9.20141241851094e-06
0.626925620718352,-0.0123012681462846,9.38339817473062e-06
0.639324980627584,-0.0123012679186311,9.56898324367326e-06
0.65196957557121,-0.0123012676818836,9.75823881202308e-06
0.664864255817511,-0.0123012674356786,9.95123747471442e-06
0.67801396756357,-0.0123012671796386,1.01480532621245e-05
0.691423754832551,-0.0123012669133704,1.03487616690785e-05
0.705098761408512,-0.0123012666364654,1.0553439682818e-05
0.719044232809474,-0.012301266348499,1.07621658141858e-05
0.733265518299524,-0.0123012660490293,1.09750201258775e-05
0.747768072940707,-0.0123012657375962,1.11920842646144e-05
0.762557459685503,-0.0123012654137226,1.14134414917619e-05
0.777639351510687,-0.012301265076911,1.16391767148287e-05
0.793019533593395,-0.0123012647266447,1.18693765216083e-05
0.808703905530227,-0.0123012643623861,1.21041292114224e-05
0.82469848360024,-0.0123012639835765,1.23435248305284e-05
0.841009403072698,-0.0123012635896347,1.25876552054548e-05
0.857642920560464,-0.0123012631799558,1.28366139796968e-05
0.87460541641994,-0.0123012627539117,1.30904966477035e-05
0.891903397198471,-0.0123012623108479,1.33494005936353e-05
0.909543498130156,-0.0123012618500852,1.36134251265816e-05
0.927532485681016,-0.0123012613709165,1.38826715204484e-05
0.94587726014451,-0.0123012608726061,1.41572430518773e-05
0.964584858288372,-0.0123012603543899,1.44372450396661e-05
0.983662456053812,-0.0123012598154721,1.47227848858365e-05
1.00311737130809,-0.0123012592550262,1.50139721165135e-05
1.02295706665153,-0.0123012586721921,1.53109184238785e-05
