Frequency_Hz,Magnitude,Phase_deg
0.159154943091895,0.0123012737085065,179.988904752977
0.16230271589861,0.0123012737030485,179.988685310744
0.165512745481333,0.0123012736973724,179.988461528373
0.16878626315706,0.0123012736914694,179.988233320026
0.172124524595827,0.012301273685331,179.988000598165
0.175528810302357,0.012301273678947,179.987763273522
0.179000426107251,0.0123012736723082,179.987521255063
0.182540703667875,0.012301273665404,179.987274449955
0.186151000979172,0.0123012736582242,179.987022763525
0.18983270289456,0.0123012736507575,179.986766099231
0.193587221657144,0.0123012736429926,179.986504358621
0.197415997441431,0.0123012736349174,179.986237441294
0.201320498905754,0.0123012736265197,179.985965244867
0.205302223755631,0.0123012736177865,179.985687664929
0.209362699318258,0.0123012736087044,179.985404595004
0.213503483128371,0.0123012735992597,179.985115926512
0.217726163525688,0.0123012735894374,179.984821548722
0.222032360264175,0.0123012735792229,179.984521348718
0.226423725133356,0.0123012735686003,179.984215211347
0.230901942591913,0.0123012735575534,179.983903019179
0.23546873041382,0.0123012735460653,179.983584652463
0.240125840347253,0.0123012735341182,179.983259989078
0.244875058786532,0.0123012735216937,179.982928904488
0.249718207457358,0.012301273508773,179.982591271695
0.254657144115592,0.0123012734953362,179.982246961188
0.259693763259867,0.0123012734813627,179.981895840895
0.264829996858284,0.0123012734668309,179.981537776132
0.270067815089487,0.0123012734517185,179.98117262955
0.275409227098391,0.0123012734360025,179.980800261086
0.28085628176686,0.0123012734196588,179.980420527905
0.286411068499624,0.012301273402662,179.980033284347
0.292075718025744,0.0123012733849861,179.979638381872
0.297852403215924,0.0123012733666044,179.979235669001
0.303743339915995,0.0123012733474882,179.978824991261
0.30975078779687,0.0123012733276087,179.978406191121
0.315877051221326,0.0123012733069347,179.977979107938
0.322124480127921,0.0123012732854351,179.977543577888
0.328495470932386,0.0123012732630765,179.977099433909
0.334992467446863,0.0123012732398247,179.976646505634
0.341617961817305,0.0123012732156441,179.976184619328
0.348374495479429,0.0123012731904976,179.975713597819
0.355264660133566,0.0123012731643465,179.97523326043
0.362291098738802,0.0123012731371507,179.974743422911
0.369456506526773,0.0123012731088688,179.974243897369
0.376763632035512,0.0123012730794567,179.973734492193
0.384215278163748,0.0123012730488698,179.973215011985
0.391814303246053,0.0123012730170612,179.97268525748
0.399563622149253,0.0123012729839818,179.972145025472
0.407466207390526,0.012301272949581,179.971594108738
0.415525090277615,0.0123012729138059,179.971032295954
0.423743362071588,0.012301272876602,179.970459371618
0.432124175172596,0.0123012728379115,179.969875115966
0.440670744329087,0.0123012727976756,179.969279304887
0.449386347870931,0.0123012727558323,179.968671709838
0.458274328966938,0.0123012727123177,179.968052097755
0.467338096907243,0.0123012726670645,179.967420230964
0.476581128411058,0.0123012726200037,179.966775867093
0.486006968960286,0.0123012725710632,179.966118758973
0.495619234159511,0.0123012725201673,179.965448654549
0.50542161112289,0.0123012724672385,179.964765296779
0.515417859888471,0.0123012724121951,179.96406842354
0.525611814860483,0.0123012723549531,179.963357767521
0.536007386280155,0.0123012722954243,179.962633056128
0.546608561725624,0.0123012722335176,179.961894011372
0.557419407641505,0.0123012721691378,179.961140349769
0.568444070898716,0.0123012721021863,179.960371782226
0.579686780385156,0.0123012720325602,179.959588013933
0.591151848627835,0.0123012719601526,179.958788744251
0.602843673447094,0.0123012718848526,179.957973666592
0.614766739643542,0.0123012718065449,179.957142468308
0.626925620718352,0.0123012717251087,179.956294830563
0.639324980627584,0.0123012716404192,179.955430428218
0.65196957557121,0.0123012715523469,179.954548929705
0.664864255817511,0.0123012714607562,179.953649996893
0.67801396756357,0.0123012713655069,179.95273328497
0.691423754832551,0.0123012712664525,179.951798442297
0.705098761408512,0.0123012711634411,179.950845110289
0.719044232809474,0.0123012710563147,179.94987292326
0.733265518299524,0.0123012709449092,179.948881508299
0.747768072940707,0.0123012708290529,179.947870485115
0.762557459685503,0.0123012707085688,179.946839465896
0.777639351510687,0.0123012705832716,179.945788055164
0.793019533593395,0.0123012704529691,179.944715849614
0.808703905530227,0.0123012703174613,179.943622437967
0.82469848360024,0.0123012701765404,179.94250740081
0.841009403072698,0.0123012700299903,179.941370310436
0.857642920560464,0.0123012698775856,179.940210730674
0.87460541641994,0.0123012697190932,179.939028216734
0.891903397198471,0.0123012695542689,179.937822315022
0.909543498130156,0.0123012693828607,179.936592562978
0.927532485681016,0.0123012692046053,179.935338488891
0.94587726014451,0.0123012690192289,179.934059611719
0.964584858288372,0.0123012688264475,179.932755440911
0.983662456053812,0.0123012686259647,179.931425476211
1.00311737130809,0.0123012684174733,179.930069207468
1.02295706665153,0.0123012682006534,179.928686114444
1.04318915228008,0.0123012679751719,179.927275666609
1.06382138890443,0.0123012677406832,179.925837322943
1.08486169072692,0.0123012674968274,179.924370531727
1.1063181284773,0.0123012672432302,179.922874730325
1.12819893250854,0.0123012669795025,179.921349344979
1.15051249595384,0.0123012667052397,179.91979379058
1.17326737794615,0.012301266420021,179.918207470448
1.19647230690127,0.0123012661234085,179.916589776103
1.22013618386597,0.0123012658149471,179.914940087028
1.24426808593228,0.0123012654941637,179.913257770438
1.26887726971929,0.0123012651605659,179.911542181029
1.29397317492391,0.0123012648136417,179.909792660738
1.31956542794172,0.012301264452859,179.908008538485
1.34566384555956,0.012301264077664,179.906189129917
1.37227843872105,0.0123012636874811,179.904333737149
1.39941941636667,0.0123012632817115,179.902441648492
1.42709718934971,0.0123012628597326,179.90051213818
1.45532237442976,0.012301262420897,179.898544466098
1.48410579834509,0.0123012619645313,179.896537877489
1.51345850196561,0.0123012614899348,179.894491602671
