Time_s,Output
0,0
0.001001,-0.0122322004874818
0.002001,-0.0123006404750174
0.003002,-0.0123012657557435
0.004002,-0.012301273733724
0.005003,-0.0123012738436059
0.006003,-0.0123012738451132
0.007004,-0.0123012738451332
0.008004,-0.0123012738451334
0.009005,-0.0123012738451334
0.010005,-0.0123012738451334
0.011006,-0.0123012738451334
0.012006,-0.0123012738451334
0.013007,-0.0123012738451334
0.014007,-0.0123012738451334
0.015008,-0.0123012738451334
0.016008,-0.0123012738451334
0.017009,-0.0123012738451334
0.018009,-0.0123012738451334
0.01901,-0.0123012738451334
0.02001,-0.0123012738451334
0.021011,-0.0123012738451334
0.022011,-0.0123012738451334
0.023012,-0.0123012738451334
0.024012,-0.0123012738451334
0.025013,-0.0123012738451334
0.026013,-0.0123012738451334
0.027014,-0.0123012738451334
0.028014,-0.0123012738451334
0.029015,-0.0123012738451334
0.030015,-0.0123012738451334
0.031016,-0.0123012738451334
0.032016,-0.0123012738451334
0.033017,-0.0123012738451334
0.034017,-0.0123012738451334
0.035018,-0.0123012738451334
0.036018,-0.0123012738451334
0.037019,-0.0123012738451334
0.038019,-0.0123012738451334
0.03902,-0.0123012738451334
0.04002,-0.0123012738451334
0.041021,-0.0123012738451334
0.042021,-0.0123012738451334
0.043022,-0.0123012738451334
0.044022,-0.0123012738451334
0.045023,-0.0123012738451334
0.046023,-0.0123012738451334
0.047024,-0.0123012738451334
0.048024,-0.0123012738451334
0.049025,-0.0123012738451334
0.050025,-0.0123012738451334
0.051026,-0.0123012738451334
0.052026,-0.0123012738451334
0.053027,-0.0123012738451334
0.054027,-0.0123012738451334
0.055028,-0.0123012738451334
0.056028,-0.0123012738451334
0.057029,-0.0123012738451334
0.058029,-0.0123012738451334
0.05903,-0.0123012738451334
0.06003,-0.0123012738451334
0.061031,-0.0123012738451334
0.062031,-0.0123012738451334
0.063032,-0.0123012738451334
0.064032,-0.0123012738451334
0.065033,-0.0123012738451334
0.066033,-0.0123012738451334
0.067034,-0.0123012738451334
0.068034,-0.0123012738451334
0.069035,-0.0123012738451334
0.070035,-0.0123012738451334
0.071036,-0.0123012738451334
0.072036,-0.0123012738451334
0.073037,-0.0123012738451334
0.074037,-0.0123012738451334
0.075038,-0.0123012738451334
0.076038,-0.0123012738451334
0.077039,-0.0123012738451334
0.078039,-0.0123012738451334
0.07904,-0.0123012738451334
0.08004,-0.0123012738451334
0.081041,-0.0123012738451334
0.082041,-0.0123012738451334
0.083042,-0.0123012738451334
0.084042,-0.0123012738451334
0.085043,-0.0123012738451334
0.086043,-0.0123012738451334
0.087044,-0.0123012738451334
0.088044,-0.0123012738451334
0.089045,-0.0123012738451334
0.090045,-0.0123012738451334
0.091046,-0.0123012738451334
0.092046,-0.0123012738451334
0.093047,-0.0123012738451334
0.094047,-0.0123012738451334
0.095048,-0.0123012738451334
0.096048,-0.0123012738451334
0.097049,-0.0123012738451334
0.098049,-0.0123012738451334
0.09905,-0.0123012738451334
0.10005,-0.0123012738451334
0.101051,-0.0123012738451334
0.102051,-0.0123012738451334
0.103052,-0.0123012738451334
0.104052,-0.0123012738451334
0.105053,-0.0123012738451334
0.106053,-0.0123012738451334
0.107054,-0.0123012738451334
0.108054,-0.0123012738451334
0.109055,-0.0123012738451334
0.110055,-0.0123012738451334
0.111056,-0.0123012738451334
0.112056,-0.0123012738451334
0.113057,-0.0123012738451334
0.114057,-0.0123012738451334
0.115058,-0.0123012738451334
0.116058,-0.0123012738451334
0.117059,-0.0123012738451334
0.118059,-0.0123012738451334
0.11906,-0.0123012738451334
0.12006,-0.0123012738451334
0.121061,-0.0123012738451334
0.122061,-0.0123012738451334
0.123062,-0.0123012738451334
0.124062,-0.0123012738451334
0.125063,-0.0123012738451334
0.126063,-0.0123012738451334
0.127064,-0.0123012738451334
0.128064,-0.0123012738451334
0.129065,-0.0123012738451334
0.130065,-0.0123012738451334
0.131066,-0.0123012738451334
0.132066,-0.0123012738451334
0.133067,-0.0123012738451334
0.134067,-0.0123012738451334
0.135068,-0.0123012738451334
0.136068,-0.0123012738451334
0.137069,-0.0123012738451334
0.138069,-0.0123012738451334
0.13907,-0.0123012738451334
0.14007,-0.0123012738451334
0.141071,-0.0123012738451334
0.142071,-0.0123012738451334
0.143072,-0.0123012738451334
0.144072,-0.0123012738451334
0.145073,-0.0123012738451334
0.146073,-0.0123012738451334
0.147074,-0.0123012738451334
0.148074,-0.0123012738451334
0.149075,-0.0123012738451334
0.150075,-0.0123012738451334
0.151076,-0.0123012738451334
0.152076,-0.0123012738451334
0.153077,-0.0123012738451334
0.154077,-0.0123012738451334
0.155078,-0.0123012738451334
0.156078,-0.0123012738451334
0.157079,-0.0123012738451334
0.158079,-0.0123012738451334
0.15908,-0.0123012738451334
0.16008,-0.0123012738451334
0.161081,-0.0123012738451334
0.162081,-0.0123012738451334
0.163082,-0.0123012738451334
0.164082,-0.0123012738451334
0.165083,-0.0123012738451334
0.166083,-0.0123012738451334
0.167084,-0.0123012738451334
0.168084,-0.0123012738451334
0.169085,-0.0123012738451334
0.170085,-0.0123012738451334
0.171086,-0.0123012738451334
0.172086,-0.0123012738451334
0.173087,-0.0123012738451334
0.174087,-0.0123012738451334
0.175088,-0.0123012738451334
0.176088,-0.0123012738451334
0.177089,-0.0123012738451334
0.178089,-0.0123012738451334
0.17909,-0.0123012738451334
0.18009,-0.0123012738451334
0.181091,-0.0123012738451334
0.182091,-0.0123012738451334
0.183092,-0.0123012738451334
0.184092,-0.0123012738451334
0.185093,-0.0123012738451334
0.186093,-0.0123012738451334
0.187094,-0.0123012738451334
0.188094,-0.0123012738451334
0.189095,-0.0123012738451334
0.190095,-0.0123012738451334
