Time_s,Output
0.198099,-3.30584264288836e-319
0.1991,-3.16834417365075e-319
0.2001,-3.0393436335216e-319
0.201101,-2.91943390127593e-319
0.202101,-2.80411897953658e-319
0.203102,-2.69656088843694e-319
0.204102,-2.59256006998736e-319
0.205103,-2.49774887255042e-319
0.206103,-2.40921230881567e-319
0.207104,-2.32171328293719e-319
0.208104,1.67590525528872e-318
0.209105,1.6339590819568e-318
0.210105,1.55762593967432e-318
0.211106,1.48529472912316e-318
0.212106,1.41716307656166e-318
0.213107,1.35290983932e-318
0.214107,1.29196684190548e-318
0.215108,1.23432914366164e-318
0.216108,-7.32328803548188e-319
0.217109,-6.98406256304728e-319
0.218109,-6.64582522190436e-319
0.21911,-6.31998892847206e-319
0.22011,-6.01811481886306e-319
0.221111,-5.73442232502101e-319
0.222111,-5.46204393446873e-319
0.223112,-5.2060191167938e-319
0.224112,-4.96535974070453e-319
0.225113,-4.73680497293837e-319
0.226113,-4.52119472509325e-319
0.227114,-4.3171950199254e-319
0.228114,-4.12465763774106e-319
0.229115,-3.94679400523821e-319
0.230115,-3.77461212766254e-319
0.231116,-3.6119657170516e-319
0.232116,-3.45747138959704e-319
0.233117,-3.31355006696349e-319
0.234117,-3.17590337803212e-319
0.235118,-3.04828622171132e-319
0.236118,-2.92600497436561e-319
0.237119,-2.80970192133458e-319
0.238119,-2.70313196152663e-319
0.23912,-2.60031690062706e-319
0.24012,-2.50362825373593e-319
0.241121,-2.41509169000118e-319
0.242121,-2.32690097221852e-319
0.243122,1.64560914988573e-318
0.244122,1.63889973841521e-318
0.245123,1.56208241179981e-318
0.246123,1.48973637927928e-318
0.247124,1.42128358404797e-318
0.248124,1.35686236448673e-318
0.249125,1.29549941127325e-318
0.250125,1.23775301858732e-318
0.251126,-7.32323862891729e-319
0.252126,-7.00619670398096e-319
0.253127,-6.66583488056093e-319
0.254127,-6.34069027903281e-319
0.255128,-6.03580236898417e-319
0.256128,-5.75181343575462e-319
0.257129,-5.4795832648961e-319
0.258129,-5.2215821846378e-319
0.25913,-4.97889713940058e-319
0.26013,-4.75093525040943e-319
0.261131,-4.53334873998094e-319
0.262131,-4.32905259542559e-319
0.263132,-4.136663432935e-319
0.264132,-3.95815751509256e-319
0.265133,-3.78464166027312e-319
0.266133,-3.62174821683926e-319
0.267134,-3.46710566969095e-319
0.268134,-3.32288790766989e-319
0.269135,-3.18390724149475e-319
0.270135,-3.05698177707813e-319
0.271136,-2.93386061813449e-319
0.272136,-2.81726112571596e-319
0.273137,-2.70901134271214e-319
0.274137,-2.60664094089383e-319
0.275138,-2.50916178896935e-319
0.276138,-2.41993353333043e-319
0.277139,-2.33139696959567e-319
0.278139,1.58206736717409e-318
0.27914,1.64377616633966e-318
0.28014,1.56661299377218e-318
0.281141,1.49404463171101e-318
0.282141,1.42552266728929e-318
0.283142,1.36073583915013e-318
0.284142,1.29913573442664e-318
0.285143,1.241176893513e-318
0.286143,-7.30495820002117e-319
0.287144,-7.0294177893355e-319
0.288144,-6.68559750639458e-319
0.289145,-6.36084815738313e-319
0.290145,-6.0540827978803e-319
0.291146,-5.76821641519655e-319
0.292146,-5.49692496906512e-319
0.293147,-5.23689821965888e-319
0.294147,-4.9940649547279e-319
0.295148,-4.76368214407213e-319
0.296148,-4.54688613867699e-319
0.297149,-4.3414536431362e-319
0.298149,-4.14916329377479e-319
0.29915,-3.96853289365523e-319
0.30015,-3.79531347822329e-319
0.301151,-3.63059199189982e-319
0.302151,-3.47644351039735e-319
0.303152,-3.33044711205126e-319
0.304152,-3.19191110495737e-319
0.305153,-3.06488682741159e-319
0.306153,-2.94146922908045e-319
0.307154,-2.82457329727441e-319
0.308154,-2.71553300923724e-319
0.309155,-2.61523768313147e-319
0.310155,-2.51612811457572e-319
0.311156,-2.42428131101383e-319
0.312156,-2.33623881292492e-319
0.313157,1.4579778395646e-318
0.314157,1.64865753492057e-318
0.315158,1.57114357574454e-318
0.316158,1.49833312151691e-318
0.317159,1.42951965836415e-318
0.318159,1.36459943250061e-318
0.31916,1.30277205758003e-318
0.32016,1.24469958156785e-318
0.321161,-7.25001810020362e-319
0.322161,-7.0512060843171e-319
0.323162,-6.70570597818032e-319
0.324162,-6.38184594733138e-319
0.325163,-6.07177034800142e-319
0.326163,-5.78565693249475e-319
0.327164,-5.5131797288133e-319
0.328164,-5.25310357284247e-319
0.329165,-5.00859048471564e-319
0.330165,-4.77791123467236e-319
0.331166,-4.5599294717272e-319
0.332166,-4.35459578931558e-319
0.333167,-4.16195959400208e-319
0.334167,-3.9792047116054e-319
0.335168,-3.80573826335054e-319
0.336168,-3.64076974420415e-319
0.337169,-3.48652244957251e-319
0.338169,-3.33914266741806e-319
0.33917,-3.20035962750126e-319
0.34017,-3.0729400974388e-319
0.341171,-2.94868258750973e-319
0.342171,-2.83396054454539e-319
0.343172,-2.7224993348436e-319
0.344172,-2.62210519560866e-319
0.345173,-2.52215571545498e-319
0.346173,-2.43085238410352e-319
0.347174,-2.34078421686666e-319
0.348174,1.21207642697295e-318
0.349175,1.65345985299815e-318
0.350175,1.57581249609774e-318
0.351176,1.50259196738407e-318
0.352176,1.43356605600359e-318
0.353177,1.36842844125588e-318
0.354177,1.30647260926738e-318
0.355178,1.24826673553083e-318
0.356178,-7.12338907517451e-319
0.357179,-7.07254972021744e-319
0.358179,-6.72571563683689e-319
0.35918,-6.40121332064836e-319
0.36018,-6.09005077689754e-319
0.361181,-5.80191169224293e-319
0.362181,-5.52908864260939e-319
0.363182,-5.27118637548026e-319
0.364182,-5.02336304752629e-319
0.365183,-4.79204151214342e-319
0.366183,-4.57312102447116e-319
0.367184,-4.36734268297828e-319
0.368184,-4.17302666446892e-319
0.369185,-3.99027178207224e-319
0.370185,-3.81532313687986e-319
0.371186,-3.65010758491055e-319
0.372186,-3.49758952003935e-319
0.373187,-3.3477394096557e-319
0.374187,-3.20806705157638e-319
0.375188,-3.0813392134181e-319
0.376188,-2.95599475906818e-319
0.377189,-2.84260669334761e-319
0.378189,-2.72907040793329e-319
0.37919,-2.62670000611499e-319
0.38019,-2.52640468000921e-319
0.381191,-2.43569422743276e-319
0.382191,-2.34592249958341e-319
0.383192,7.44497640405258e-319
0.384192,1.65836098420489e-318
0.385193,1.58041224726052e-318
0.386193,1.50702373622726e-318
0.387194,1.43760751298657e-318
0.388194,1.37234144117094e-318
0.389195,1.31017316095473e-318
0.390195,1.25172519505171e-318
0.391196,-6.86464689644745e-319
0.392196,-7.09433801519904e-319
0.393197,-6.74641698739764e-319
0.394197,-6.42171704495077e-319
0.395198,-6.10907230426243e-319
0.396198,-5.81920398984737e-319
0.397199,-5.54529399579298e-319
0.398199,-5.286304784243e-319
0.3992,-5.03956840070988e-319
0.4002,-4.80632000930823e-319
0.401201,-4.58695486255472e-319
0.402201,-4.38078126854516e-319
0.403202,-4.18443958088785e-319
0.404202,-4.00138825910367e-319
0.405203,-3.82530326292585e-319
0.406203,-3.65979127156903e-319
0.407204,-3.50717439356867e-319
0.408204,-3.3570772503621e-319
0.409205,-3.21597210190984e-319
0.410205,-3.08914545062239e-319
0.411206,-2.96266464528703e-319
0.412206,-2.84972123864773e-319
0.413207,-2.7358885138459e-319
0.414207,-2.63366633172135e-319
0.415208,-2.53302515966349e-319
0.416208,-2.44137598235994e-319
0.417209,-2.35081374947724e-319
0.418209,-2.26953995073635e-319
0.41921,1.66327693738101e-318
0.42021,1.58504658301851e-318
0.421211,1.51149008966567e-318
0.422211,1.44183671491497e-318
0.423212,1.37625938174246e-318
0.424212,1.31403675430521e-318
0.425213,1.25516389194677e-318
0.426213,-6.33797291798068e-319
0.427214,-7.11543461827646e-319
0.428214,-6.76716774452297e-319
0.429215,-6.44039272636357e-319
0.430215,-6.12804442506273e-319
0.431216,-5.83624925462889e-319
0.432216,-5.56159816210574e-319
0.433217,-5.30107734705365e-319
0.434217,-5.05483502916638e-319
0.435218,-4.82148782463556e-319
0.436218,-4.60182623849454e-319
0.437219,-4.39337994251412e-319
0.438219,-4.19614893669429e-319
0.43922,-4.01210948361843e-319
0.44022,-3.83641973995728e-319
0.441221,-3.66991961730878e-319
0.442221,-3.51754977213134e-319
0.443222,-3.36527874008307e-319
0.444222,-3.22437121788914e-319
0.445223,-3.09640821561626e-319
0.446223,-2.96987800371632e-319
0.447224,-2.85441486228322e-319
0.448224,-2.74221255411267e-319
0.449225,-2.63984215229436e-319
0.450225,-2.53722471765314e-319
0.451226,-2.44853993422463e-319
0.452226,-2.35600143875857e-319
0.453227,-2.27532051879269e-319
0.454227,1.66828676302985e-318
0.455228,1.58961669024254e-318
